TaxRate_Percent,Interest_Rate,Transfers,Output,Capital,Consumption,Transfer_Output_Ratio,Tax_Revenue,Consumption_Variance
5,0.0768976063755136,0.0513078622646048,1.60336020669576,4.62132290401943,1.36613175839664,0.0320002093418179,0.0513084019055087,1.2734125223823
10,0.0794313115280671,0.101464111125849,1.58539038381568,4.47887995949323,1.3554745734808,0.0639994490704852,0.101464083651178,1.1920582921874
15,0.0817095497658837,0.15068673229585,1.56968641000341,4.35672549169621,1.34604127474707,0.0959979849067576,0.150686626301793,1.10905211418052
20,0.0838365234420945,0.199085484728634,1.55530267820671,4.24673049913267,1.33730363335571,0.128004334794937,0.19908569897868,1.02702886925211
25,0.0858914843983685,0.24670116692469,1.54182857591891,4.1453189628151,1.32903528740302,0.160005574405481,0.24670141711116,0.948872951262034
30,0.0878562717188451,0.293625678619256,1.52929191351004,4.05236719332231,1.32127035173961,0.192001066653994,0.293625724510157,0.87323845393973
35,0.089719465129196,0.339948620445127,1.51761926298577,3.96703072157143,1.31397830323494,0.22400125560894,0.339948669866567,0.799254013959874
40,0.0915071930606944,0.385704618854666,1.50669567952445,3.88822041699817,1.30710059888987,0.255993711335526,0.385704385598498,0.728162035771276
45,0.093233881997657,0.430925470128264,1.49628520430959,3.81405137975434,1.30049733888648,0.287996879797457,0.430925364887222,0.660981732293205
50,0.0948901016976677,0.475676243741093,1.48648687057988,3.7450765146209,1.29423959996763,0.320000299468188,0.475676253270681,0.59748512859988
55,0.0964896925530854,0.519977558050033,1.47720587616675,3.68048453842676,1.28827430636059,0.352000737635393,0.519977588223046,0.539334505832284
60,0.0979760820410352,0.563991900928008,1.46871060354858,3.62198986137911,1.28278166304129,0.384004785943084,0.563992028761402,0.482792588621532
65,0.099,0.60804835110697,1.43183794026814,3.37500170099671,1.25862787194278,0.424662829505062,0.608593807913223,0.405267997330948
70,0.099,0.654353662061718,1.31298166733951,2.65296648405843,1.18904357217608,0.49837227612449,0.65540871621424,0.277804122628153
75,0.099,0.700305011161882,1.18016131505546,1.97275263057191,1.12310622099168,0.593397700999012,0.702223624515257,0.175891135218747
80,0.099,0.746099682793913,1.02836778462672,1.34580212720398,1.0621077195005,0.725518334925993,0.749038532816274,0.0988529775026755
85,0.099,0.789439066595001,0.84964274657082,0.791899003662641,1.00564212951511,0.929142359869718,0.795853441117291,0.0459467556573188
90,0.099,0.001,1.15418354781904,1.85447616371088,0.272041369597042,0.000866413320385317,0.842668349418308,0.0511582464192995
